Name;id;brewery_id;cat_id;style_id;Alcohol By Volume;International Bitterness Units;Standard Reference Method;Universal Product Code;filepath;Description;add_user;last_mod;Style;Category;Brewer;Address;City;State;Country;Coordinates;Website
Pendle Witches Brew;106;884;3;26;5.099999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Moorhouse's Brewery (Burnley);4 Moorhouse Street;Burnley;Lancashire;United Kingdom;53.7864, -2.2694;
Carnegie Stark-Porter;107;345;2;25;5.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Carlsberg Sverige AB;rstadvgen;Falkenberg;;Sweden;56.9002, 12.5405;
Harvest Ale 2002;108;727;1;13;11.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;JW Lees and Co (Brewers) Ltd.;Middleton Junction;Manchester;Manchester;United Kingdom;53.5412, -2.1734;
Woody Organic IPA;109;1075;3;31;6.199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Roots Organic Brewing;1520 SE Seventh Avenue;Portland;Oregon;United States;45.5118, -122.659;
Adriaan;110;620;-1;-1;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Haarlems Biergenootschap Jopen;R Pereboomweg 13 achter;Haarlem;;Netherlands;52.3795, 4.6377;
Leute Bok Bier;111;304;7;90;7.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Brouwerij Van Steenberge;Lindenlaan 25;Ertvelde;Oost-Vlaanderen;Belgium;51.1766, 3.7462;
La Folie Falling Rock;112;905;-1;-1;6;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;New Belgium Brewing;500 Linden Street;Fort Collins;Colorado;United States;40.5929, -105.07;http://www.newbelgium.com/
Oak Aged IPA;113;1315;-1;-1;6;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Upstream Brewing Company at Legacy;17070 Wright Plaza;Omaha;Nebraska;United States;41.2331, -96.1811;
Tikka Gold;114;304;3;26;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Brouwerij Van Steenberge;Lindenlaan 25;Ertvelde;Oost-Vlaanderen;Belgium;51.1766, 3.7462;
La Divine Double Blond;115;179;-1;-1;7.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie de Silly;Rue Ville Basse 141;Silly;Hainaut;Belgium;50.6493, 3.9242;
La Divine Tripel Amber;116;179;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie de Silly;Rue Ville Basse 141;Silly;Hainaut;Belgium;50.6493, 3.9242;
Ename Tripel;117;292;-1;-1;8.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij Roman;Hauwaart 105;Oudenaarde;Oost-Vlaanderen;Belgium;50.831, 3.6759;
Triple Dipsea Belgian;118;827;-1;-1;9.199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Marin Brewing;1809 Larkspur Landing Circle;Larkspur Landing;California;United States;37.9479, -122.511;
Oktoberfest Weizen;119;1019;-1;-1;5.699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Privatbrauerei Erdinger Weissbru;Franz-Brombach-Strae 1-20;Erding;Bayern;Germany;48.3153, 11.8911;
Imperial Hefeweizen;120;1029;-1;-1;7.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Pyramid Alehouse, Brewery and Restaurant - Berkeley;901 Gilman Street;Berkeley;California;United States;37.8806, -122.3;
Triple Exultation Old Ale;121;481;1;13;9.699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;Eel River Brewing;1777 Alamar Way;Fortuna;California;United States;40.5793, -124.153;http://eelriverbrewing.com/
Organic Gingerbread Ale;122;130;-1;-1;6.800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Bison Brewing;2598 Telegraph Avenue;Berkeley;California;United States;37.8634, -122.259;
Falcon Pale Ale;123;1064;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Rock Bottom Restaurant & Brewery - Denver;1001 16th Street #A-100;Denver;Colorado;United States;39.7472, -104.995;
Buzzsaw Brown;124;441;3;38;4.800000191;0;0;0;;By 1915, Bend, Oregon, was alive with the sound of the buzz saw, as two of the country's largest pine sawmills set up shop on the banks of the Deschutes River.  The mills are  gone now, but the smokestacks still stand testament to Bend's humble beginnings.    Buzzsaw Brown is an easy-drinking beer that is refreshing after a hard day�۪s work. The timber mills in Bend may be closed, but whether your adventure includes a day of scaling rock faces, hitting 18 holes or skiing the slopes in spring, Buzzsaw Brown is the perfect end to a fun-filled day.   ���Buzzsaw Brown is one of my favorite beers,�۝ says Deschutes Brewery Brewmaster Larry Sidor. ���The unique combination of European and American malts makes it a very food friendly beer that pairs well with a wide variety of flavors.�۝;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Deschutes Brewery;901 SW Simpson Avenue;Bend;Oregon;United States;44.0474, -121.323;http://www.deschutesbrewery.com/
Eisenbahn South American Pale Ale (S.A.P.A.);125;369;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Cervejaria Sudbrack;Rua Bahia, 5181;Blumenau;Santa Catarina;Brazil;-26.8914, -49.1223;http://www.eisenbahn.com.br/
Geist Bock;126;584;7;90;6.099999905;0;0;0;;This is one of our rare lagers brewed in the style of the German Heiliges Geist Bock, or Holy Ghost Bock. The name refers to the lighter nature of the beer as opposed to the darker and heavier Doppel Bock and Mai Bock also brewed during the spring in Germany. There is a rich malt flavor, a firm German style lager head, and a clean lagered finish to this beer.  Available on draft or in 12 oz. bottles.;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Golden Valley Brewery and Pub;980 NE Fourth Street;McMinnville;Oregon;United States;45.2104, -123.189;http://www.goldenvalleybrewery.com/
Troll Porter;127;623;2;25;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Hale's Ales #3;4301 Leary Way NW;Seattle;Washington;United States;47.6592, -122.366;
Dark Ale;128;397;1;10;4.5;0;0;0;;A dark brew full of promise. Coopers Dark Ale is a journey in taste, starting fresh and creamy, and finishing with a lingering coffee flavour.    Conditioned and naturally brewed using the top fermentation method, Coopers 'Dark' is made using roasted and chocolate malts, giving it a rich dark colour and unique flavour.    Coopers Dark Ale has no additives and no preservatives.;0;2010-07-22 22:00:00+02:00;English-Style Pale Mild Ale;British Ale;Coopers Brewery;461 South Road;Regency Park;South Australia;Australia;-34.8727, 138.573;http://www.coopers.com.au/
Cinder Cone Red;129;441;3;33;5.400000095;0;0;0;;"Cinder Cone Red's diverse selection of hops and barley captivates thirsty palates with its toffee-like flavor, intense citrus aroma and defined bitterness.   Located on the northern slope of Mt. Bachelor, the Cinder Cone was also known as ""Red Hill"" due to its reddish color that is revealed as the seasons change, the weather warms and the snow melts.  It's spring. Time to get outside.";0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Deschutes Brewery;901 SW Simpson Avenue;Bend;Oregon;United States;44.0474, -121.323;http://www.deschutesbrewery.com/
LTD 02 Lager;130;562;7;90;6.400000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Full Sail Brewing #1;506 Columbia Street;Hood River;Oregon;United States;45.7103, -121.515;
Saison Vielle Provision;131;189;-1;-1;6.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie Dupont;Rue Basse 5;Tourpes;Hainaut;Belgium;50.5718, 3.6508;
Organic Barley Wine Ale 2005;132;130;-1;-1;9.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Bison Brewing;2598 Telegraph Avenue;Berkeley;California;United States;37.8634, -122.259;
Old Boardhead 2006;133;562;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Full Sail Brewing #1;506 Columbia Street;Hood River;Oregon;United States;45.7103, -121.515;
Blue Dot Double India Pale Ale;134;622;3;32;7;0;0;0;;;0;2010-07-22 22:00:00+02:00;Imperial or Double India Pale Ale;North American Ale;Hair of the Dog Brewing;4509 SE 23rd Avenue;Portland;Oregon;United States;45.4901, -122.643;
Nugget;135;562;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Full Sail Brewing #1;506 Columbia Street;Hood River;Oregon;United States;45.7103, -121.515;
American Pale Ale;136;1175;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Spanish Peaks Brewing;Polson MT 59860;Polson;Montana;United States;47.6959, -114.176;http://www.blackdogales.com/
471 Extra ESB;137;236;-1;-1;7.800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Breckenridge Brewery;471 Kalamath Street;Denver;Colorado;United States;39.7236, -105.001;http://www.breckbrew.com/
Odell Red Ale;138;935;3;33;6.5;0;0;0;;The Rocky Mountain Goat is no ordinary goat. Just like Odell Red is no ordinary red.    We took the American-style red to a whole new level by adding a variety of aggressive American hops���giving this ale a distinctive fresh hop aroma and flavor.    We think you'll agree this red has some serious kick.;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Odell Brewing;800 East Lincoln Avenue;Fort Collins;Colorado;United States;40.5894, -105.063;
Long Leg English Fuggles Hop Ale;139;335;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Camerons Brewery Company;Lion Brewery;Harltepool;Cleveland;United Kingdom;41.4995, -81.6954;
Summer Lightning;140;671;-1;-1;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Hop Back Brewery;Unit 21-24 Batten Road Industrial Estate;Salisbury;Wiltshire;United Kingdom;;
Haymaker Extra Pale Ale;141;255;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;BridgePort Brewing;1313 NW Marshall Street;Portland;Oregon;United States;45.5311, -122.685;http://www.bridgeportbrew.com/
Pale Ale;142;447;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Dick's Brewing;5945 Prather Road;Centralia;Washington;United States;46.7713, -123.007;
Silk Lady;143;447;3;26;4.400000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Dick's Brewing;5945 Prather Road;Centralia;Washington;United States;46.7713, -123.007;
Danger Ale;144;447;3;38;5.199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Dick's Brewing;5945 Prather Road;Centralia;Washington;United States;46.7713, -123.007;
Irish Style Ale;145;447;-1;-1;5.199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Dick's Brewing;5945 Prather Road;Centralia;Washington;United States;46.7713, -123.007;
Yeti Special Export;146;1392;8;95;7;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Yuksom Breweries;;Malli;Sikkim;India;;
Steelie Brown Ale;147;1151;3;38;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Skagit River Brewing;404 South Third Street;Mount Vernon;Washington;United States;48.4192, -122.335;
Bond Street 19th Anniversary;148;441;-1;-1;8.699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Deschutes Brewery;901 SW Simpson Avenue;Bend;Oregon;United States;44.0474, -121.323;http://www.deschutesbrewery.com/
Trumpeter;149;1151;3;42;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Skagit River Brewing;404 South Third Street;Mount Vernon;Washington;United States;48.4192, -122.335;
Nitro Porter;150;1264;2;25;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Thunderhead Brewery #2;120 East Third Street;Grand Island;Nebraska;United States;40.9259, -98.3397;
Fourteen;151;62;-1;-1;9.460000038;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Avery Brewing Company;5763 Arapahoe Avenue;Boulder;Colorado;United States;40.0166, -105.219;http://www.averybrewing.com/
Old Stock Ale 2007;152;919;1;13;11.69999981;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;North Coast Brewing Company;455 North Main Street;Fort Bragg;California;United States;39.4466, -123.806;http://www.northcoastbrewing.com/home.htm
Cold Hop;153;160;1;2;6.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;English-Style India Pale Ale;British Ale;Boulder Beer Company;2880 Wilderness Place;Boulder;Colorado;United States;40.0267, -105.248;http://boulderbeer.com/
Hitachino Nest Espresso Stout;154;742;-1;-1;7.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Kiuchi Shuzou Goushi Kaisya;1257, Kounsosu;Ibaraki;Kanto;Japan;;
Witte;155;433;-1;-1;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;De Struise Brouwers;Woesten;Woesten;West-Vlaanderen;Belgium;50.9229, 2.7518;http://www.struisebrouwers.be/
Slaapmutske Triple Nightcap;156;432;-1;-1;8.100000382;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;De Proef Brouwerij;Doornzelestraat 20;Lochristi-Hijfte;Oost-Vlaanderen;Belgium;51.1159, 3.8158;
Biere de Mars;157;723;1;13;7;0;0;0;;A sustaining beer that is brewed to comfort in the gusty ides of March and welcome in a wealth of warmer weather.;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;Jolly Pumpkin Artisan Ales;3115 Broad Street;Dexter;Michigan;United States;42.3375, -83.8895;http://www.jollypumpkin.com
Kerst Pater Special Christmas Beer;158;300;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij Van Den Bossche;St Lievensplein 16;Sint-Lievens-Esse;Oost-Vlaanderen;Belgium;50.8564, 3.8845;
Zoetzuur Flemish Ale;159;432;-1;-1;7;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;De Proef Brouwerij;Doornzelestraat 20;Lochristi-Hijfte;Oost-Vlaanderen;Belgium;51.1159, 3.8158;
WPA (Wheat Pale Ale);160;869;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Minneapolis Town Hall Brewery;1430 Washington Avenue South;Minneapolis;Minnesota;United States;44.9732, -93.2479;http://www.townhallbrewery.com/
Smoked Hefe;161;869;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Minneapolis Town Hall Brewery;1430 Washington Avenue South;Minneapolis;Minnesota;United States;44.9732, -93.2479;http://www.townhallbrewery.com/
The Unforgiven Amber Ale;162;1084;3;33;5.800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Rush River Brewing;990 Antler Court;River Falls;Wisconsin;United States;44.8902, -92.6378;
Strange Ghost;163;192;-1;-1;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie Fantme;Rue Pral 8;Soy;Luxembourg;Belgium;50.286, 5.5127;
Duke IPA;164;595;3;31;5.099999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Granite City Food & Brewery - Omaha;1001 North 102nd Street;Omaha;Nebraska;United States;41.2672, -96.0714;
Broad Axe Stout;165;595;3;42;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Granite City Food & Brewery - Omaha;1001 North 102nd Street;Omaha;Nebraska;United States;41.2672, -96.0714;
Northern Light Lager;166;595;8;95;4.400000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Granite City Food & Brewery - Omaha;1001 North 102nd Street;Omaha;Nebraska;United States;41.2672, -96.0714;
Podge Belgian Imperial Stout;167;31;3;42;10.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Alvinne Picobrouwerij;Oostrozebekestraat 114;Ingelmunster;West-Vlaanderen;Belgium;50.919, 3.2632;
Okocim Porter;168;307;2;25;8.300000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Browar Okocim;ul. Browarna 14;Brzesko;;Poland;49.9622, 20.6003;http://www.okocim.pl/
Pannepot;170;433;-1;-1;10;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;De Struise Brouwers;Woesten;Woesten;West-Vlaanderen;Belgium;50.9229, 2.7518;http://www.struisebrouwers.be/
Samurai;171;604;-1;-1;5.099999905;0;0;0;;Looking for something a little different? Brewed with rice and barley malts, Samurai is an easy drinking, unfiltered ale that changes the status quo for unfiltered beers. The addition of rice gives Samurai a slightly fruity, crisp, refreshing and clean taste. This is definitely not your everyday unfiltered beer.;0;2010-07-22 22:00:00+02:00;;;Great Divide Brewing;2201 Arapahoe Street;Denver;Colorado;United States;39.7539, -104.989;http://www.greatdivide.com/
Crystal Ale;172;122;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Big Sky Brewing;5417 Trumpeter Way;Missoula;Montana;United States;46.9223, -114.073;
Gavroche French Red Ale;173;177;-1;-1;8.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie De Saint Sylvestre;121, rue de la Chapelle;St-Sylvestre-Cappel;;France;50.7975, 2.5412;http://www.brasserie-st-sylvestre.com/
Coney Island Lager;174;1138;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Shmaltz Enterprises;3435 Cesar Chavez #227;San Francisco;California;United States;37.7481, -122.419;
La Bi̬re des Collines van de Saisis;175;191;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie Ellezelloise;Rue Guinaumont 75;Ellezelles;Hainaut;Belgium;50.7428, 3.6875;
Dark Beer / Stiftsbr�_u;176;211;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brauerei Gss;Brauhausgasse 1;Leoben-Gss;;Austria;47.3625, 15.0947;
Luci̩rnaga;177;723;5;64;6.5;0;0;0;;An artisan pale ale brewed in the Grand Cru tradition. Enjoy its golden effervescence and gentle hop aroma. Coriander and Grains of Paradise round out the spicy palate, melting o so softly into a silken finish of hoppiness and bliss! Make any season a celebration!;0;2010-07-22 22:00:00+02:00;Belgian-Style Pale Ale;Belgian and French Ale;Jolly Pumpkin Artisan Ales;3115 Broad Street;Dexter;Michigan;United States;42.3375, -83.8895;http://www.jollypumpkin.com
Cuv̩e des Champions 2003-2004;178;202;5;70;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Belgian-Style Fruit Lambic;Belgian and French Ale;Brasserie-Brouwerij Cantillon;Gheudestraat 56;Anderlecht;Brussel;Belgium;50.8416, 4.3355;http://www.cantillon.be/
Beer Geek Breakfast;179;859;3;43;7.5;0;0;0;;Breakfast is the most important meal of the day, many say, and if you are a beer geek there is no better way to start the day than with a powerful, complex morning stout. The unique mix of oats and coffee gives this beer large body and power, while the coffee, at the same time, creates a nice balance.;0;2010-07-22 22:00:00+02:00;American-Style Imperial Stout;North American Ale;Mikkeller;Slien 2, 2. tv;K��benhavn;;Denmark;;http://www.mikkeller.dk/
Flemish Primitive Wild Ale (Spoon Whacker);180;432;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;De Proef Brouwerij;Doornzelestraat 20;Lochristi-Hijfte;Oost-Vlaanderen;Belgium;51.1159, 3.8158;
Bock;181;39;7;90;5.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Anchor Brewing;1705 Mariposa Street;San Francisco;California;United States;37.7635, -122.401;
Double India Pale Ale;182;810;3;26;8.600000382;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Mad River Brewing;195 Taylor Way;Blue Lake;California;United States;40.879, -123.993;
Old Bawdy 2006;183;984;-1;-1;10;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Pike Pub and Brewery;1415 First Avenue;Seattle;Washington;United States;47.6081, -122.34;
Extra Strong Vintage Ale;184;397;-1;-1;7.5;0;0;0;;If fine wine were beer it would no doubt be Coopers Extra Strong Vintage Ale. This strong ale imparts rich full flavours that are suitable for maturation. Brewed with choice malts and an extended top fermentation, Coopers Extra Strong Vintage Ale will improve with age, becoming more interesting and complex in flavour for up to 18 months. The results are well worth the wait!;0;2010-07-22 22:00:00+02:00;;;Coopers Brewery;461 South Road;Regency Park;South Australia;Australia;-34.8727, 138.573;http://www.coopers.com.au/
Certified Organic India Pale Ale;185;481;3;26;7;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Eel River Brewing;1777 Alamar Way;Fortuna;California;United States;40.5793, -124.153;http://eelriverbrewing.com/
Certified Organic Porter;186;481;2;25;5.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Eel River Brewing;1777 Alamar Way;Fortuna;California;United States;40.5793, -124.153;http://eelriverbrewing.com/
Certified Organic Extra Pale Ale;187;481;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Eel River Brewing;1777 Alamar Way;Fortuna;California;United States;40.5793, -124.153;http://eelriverbrewing.com/
Certified Organic Amber Ale;188;481;3;33;4.800000191;0;0;0;;Eel River Brewing Company, brewers of California's first Certified Organic Ale, proudly brings you our Organic Amber Ale. Unique in flavor and purity, this medium bodied beer has a hoppy bouquet and a distinctive rich taste with a caramel-like sweetness that is balanced with a liberal dose of certified organic Pacific Gems and Hallertau hops, imported from New Zealand. Pure taste, pure ingredients, pure good.;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Eel River Brewing;1777 Alamar Way;Fortuna;California;United States;40.5793, -124.153;http://eelriverbrewing.com/
Farm House Ale;189;706;-1;-1;6.699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Jack Russell Brewing;2380 Larsen Drive;Camino;California;United States;49.1482, -122.862;
Farm House Ale;189;706;-1;-1;6.699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Jack Russell Brewing;2380 Larsen Drive;Camino;California;United States;38.7563, -120.679;
Beer Town Brown;190;255;3;38;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;BridgePort Brewing;1313 NW Marshall Street;Portland;Oregon;United States;45.5311, -122.685;http://www.bridgeportbrew.com/
Tanners Jack;191;890;-1;-1;4.400000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Morland and Co.;;Abingdon;Oxford;United Kingdom;51.6701, -1.285;
Mephistopheles Stout;192;62;3;42;16.03000069;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Avery Brewing Company;5763 Arapahoe Avenue;Boulder;Colorado;United States;40.0166, -105.219;http://www.averybrewing.com/
N��gne �� Brown Ale;193;923;3;38;4.5;0;0;0;;A dark brown English ale, in which classic English malts meet the spicy hoppiness of the new world.  Recommended serving temperature 8�C/45�F. Goes very well with ���pub grub.�۪;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;N��gne �� - Det Kompromissl��se Bryggeri A/S;Gamle Rygene Kraftstasjon;Grimstad;Lunde;Norway;;http://nogne-o.com/
Vertical Epic 07.07.07;194;1204;-1;-1;8.399999619;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Stone Brewing Co.;1999 Citracado Parkway;Escondido;California;United States;33.1157, -117.12;http://www.stonebrew.com/
Ringwood Brewery Old Thumper Extra Special Ale;195;1136;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Shipyard Brewing - Portland;86 Newbury Street;Portland;Maine;United States;43.6619, -70.2489;http://www.shipyard.com/
Export Ale;196;1136;3;26;5.099999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Shipyard Brewing - Portland;86 Newbury Street;Portland;Maine;United States;43.6619, -70.2489;http://www.shipyard.com/
Bourbon Barrel Porter;197;950;-1;-1;9.100000382;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Oregon Trail Brewery;341 SW Second Street;Corvallis;Oregon;United States;44.5613, -123.261;
Old Guardian Barley Wine 2007;198;1204;-1;-1;11.26000023;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Stone Brewing Co.;1999 Citracado Parkway;Escondido;California;United States;33.1157, -117.12;http://www.stonebrew.com/
White Christmas;199;892;-1;-1;6.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Moylan's Brewery & Restaurant;15 Rowland Way;Novato;California;United States;38.0941, -122.557;http://www.moylans.com/
Winter;200;175;-1;-1;10.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie de l'Abbaye Val-Dieu;Val Dieu 225;Aubel;Lige;Belgium;50.7046, 5.822;
Undercover Investigation Shut-Down Ale;201;765;3;26;9.279999733;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Lagunitas Brewing Company;1280 North McDowell Boulevard;Petaluma;California;United States;38.2724, -122.662;http://www.lagunitas.com/
Harvest Ale 2006;202;727;1;13;11.60000038;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;JW Lees and Co (Brewers) Ltd.;Middleton Junction;Manchester;Manchester;United Kingdom;53.5412, -2.1734;
Classic Gueuze;203;202;5;70;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Belgian-Style Fruit Lambic;Belgian and French Ale;Brasserie-Brouwerij Cantillon;Gheudestraat 56;Anderlecht;Brussel;Belgium;50.8416, 4.3355;http://www.cantillon.be/
Gueuze-Lambic;204;1315;5;70;6.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;Belgian-Style Fruit Lambic;Belgian and French Ale;Upstream Brewing Company at Legacy;17070 Wright Plaza;Omaha;Nebraska;United States;41.2331, -96.1811;
Schwarzbier / Dunkel;205;484;7;86;4.900000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Schwarzbier;German Lager;Einbecker Brauhaus AG;Papenstrae 4-7;Einbeck;Niedersachsen;Germany;51.8162, 9.8643;
Sawtooth Ale;206;779;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Left Hand Brewing Company;1265 Boston Avenue;Longmont;Colorado;United States;40.1587, -105.113;http://www.lefthandbrewing.com/
Pole Star Pilsner;207;779;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Left Hand Brewing Company;1265 Boston Avenue;Longmont;Colorado;United States;40.1587, -105.113;http://www.lefthandbrewing.com/
90 Shilling;208;935;1;7;5.300000191;0;0;0;;We introduced 90 Shilling, our flagship beer, at our opening party in 1989. For a while, we'd been wondering - what would happen if we lightened up the traditional Scottish ale? The result is an irresistibly smooth and delicious medium-bodied amber ale. The name 90 Shilling comes from the Scottish method of taxing beer. Only the highest quality beers were taxed 90 Shillings. A shilling was a British coin used from 1549 to 1982. We think you'll find this original ale brilliantly refreshing, and worth every shilling.;0;2010-07-22 22:00:00+02:00;Scottish-Style Light Ale;British Ale;Odell Brewing;800 East Lincoln Avenue;Fort Collins;Colorado;United States;40.5894, -105.063;
Sunshine Wheat;209;905;11;116;4.800000191;0;0;0;;SUNSHINE WHEAT is a great beer for trouncing thirst.  Yet, it has a depth of character that inspires a quiet moment�۪s reflection. Sunshine Wheat swirls in the mouth with ripples of coriander and orange peel tartness, settling nicely into a tranquil sea of apple and honey tones.  A filtered wheat beer, Sunshine offers a crisp, refreshing alternative to heavier-bodied heffe-weizens.;0;2010-07-22 22:00:00+02:00;Light American Wheat Ale or Lager;Other Style;New Belgium Brewing;500 Linden Street;Fort Collins;Colorado;United States;40.5929, -105.07;http://www.newbelgium.com/
